#FamilyID	pvalue	Significant at 0.05
N0.HOG0000420	0.006	y
N0.HOG0000422	0.001	y
N0.HOG0000424	0	y
N0.HOG0000425	0.001	y
N0.HOG0000427	0	y
N0.HOG0000428	0.137	n
N0.HOG0000433	0.004	y
N0.HOG0000434	0.365	n
N0.HOG0000435	0.069	n
N0.HOG0000436	0.804	n
N0.HOG0000438	0.002	y
N0.HOG0000439	0.849	n
N0.HOG0000443	0	y
N0.HOG0000445	0.033	y
N0.HOG0000452	0	y
N0.HOG0000454	0.001	y
N0.HOG0000456	0	y
N0.HOG0000459	0.426	n
N0.HOG0000460	0	y
N0.HOG0000461	0.431	n
N0.HOG0000462	0	y
N0.HOG0000463	0	y
N0.HOG0000466	0.657	n
N0.HOG0000467	0.37	n
N0.HOG0000468	0.398	n
N0.HOG0000469	0	y
N0.HOG0000470	0.079	n
N0.HOG0000471	0.002	y
N0.HOG0000472	0	y
N0.HOG0000475	0.759	n
N0.HOG0000476	0.93	n
N0.HOG0000477	0.805	n
N0.HOG0000478	0	y
N0.HOG0000479	0.116	n
N0.HOG0000480	0	y
N0.HOG0000483	0.868	n
N0.HOG0000484	0.028	y
N0.HOG0000485	0.501	n
N0.HOG0000489	0.734	n
N0.HOG0000490	0.001	y
N0.HOG0000492	0	y
N0.HOG0000493	0.001	y
N0.HOG0000495	0	y
N0.HOG0000496	0.93	n
N0.HOG0000497	0.241	n
N0.HOG0000502	0	y
N0.HOG0000509	0.32	n
N0.HOG0000510	0.754	n
N0.HOG0000511	0	y
N0.HOG0000512	0.347	n
N0.HOG0000514	0	y
N0.HOG0000518	0.043	y
N0.HOG0000519	0.841	n
N0.HOG0000520	0.862	n
N0.HOG0000521	0.555	n
N0.HOG0000522	0	y
N0.HOG0000524	0.048	y
N0.HOG0000527	0	y
N0.HOG0000532	0.873	n
N0.HOG0000533	0.511	n
N0.HOG0000534	0.629	n
N0.HOG0000537	0.001	y
N0.HOG0000538	0	y
N0.HOG0000541	0	y
N0.HOG0000543	0.001	y
N0.HOG0000544	0	y
N0.HOG0000545	0.96	n
N0.HOG0000546	0	y
N0.HOG0000547	0.051	n
N0.HOG0000548	0.673	n
N0.HOG0000551	0	y
N0.HOG0000552	0.295	n
N0.HOG0000557	0.001	y
N0.HOG0000558	0.002	y
N0.HOG0000561	0.748	n
N0.HOG0000562	0.012	y
N0.HOG0000564	0.948	n
N0.HOG0000565	0.028	y
N0.HOG0000569	0.048	y
N0.HOG0000570	0.579	n
N0.HOG0000571	0.131	n
N0.HOG0000572	0.931	n
N0.HOG0000573	0.866	n
N0.HOG0000574	0.514	n
N0.HOG0000575	0.23	n
N0.HOG0000576	0.009	y
N0.HOG0000584	0.866	n
N0.HOG0000585	0.415	n
N0.HOG0000586	0.61	n
N0.HOG0000588	0.51	n
N0.HOG0000589	0.005	y
N0.HOG0000591	0.993	n
N0.HOG0000592	0.009	y
N0.HOG0000602	0.058	n
N0.HOG0000603	0.748	n
N0.HOG0000604	0.002	y
N0.HOG0000605	0.001	y
N0.HOG0000606	0	y
N0.HOG0000607	0.259	n
N0.HOG0000608	0.004	y
N0.HOG0000609	0.001	y
N0.HOG0000612	0.004	y
N0.HOG0000614	0.607	n
N0.HOG0000615	0.609	n
N0.HOG0000616	0.78	n
N0.HOG0000620	0	y
N0.HOG0000622	0	y
N0.HOG0000623	0.065	n
N0.HOG0000625	0	y
N0.HOG0000630	0.065	n
N0.HOG0000632	0.213	n
N0.HOG0000633	0	y
N0.HOG0000634	0	y
N0.HOG0000635	0.268	n
N0.HOG0000636	0	y
N0.HOG0000637	0.478	n
N0.HOG0000638	0.313	n
N0.HOG0000639	0.008	y
N0.HOG0000640	0.585	n
N0.HOG0000641	0.886	n
N0.HOG0000642	0.15	n
N0.HOG0000643	0.033	y
N0.HOG0000646	0.008	y
N0.HOG0000649	0.005	y
N0.HOG0000650	0.017	y
N0.HOG0000651	0.895	n
N0.HOG0000654	0.368	n
N0.HOG0000655	0.894	n
N0.HOG0000656	0.004	y
N0.HOG0000666	0.001	y
N0.HOG0000670	0.944	n
N0.HOG0000671	0.805	n
N0.HOG0000675	0.001	y
N0.HOG0000676	0.362	n
N0.HOG0000677	0.715	n
N0.HOG0000678	0.465	n
N0.HOG0000679	0	y
N0.HOG0000680	0.018	y
N0.HOG0000681	0.033	y
N0.HOG0000682	0.254	n
N0.HOG0000683	0	y
N0.HOG0000685	0	y
N0.HOG0000686	0	y
N0.HOG0000688	0	y
N0.HOG0000689	0.129	n
N0.HOG0000691	0.343	n
N0.HOG0000692	0.232	n
N0.HOG0000693	0.892	n
N0.HOG0000695	0.797	n
N0.HOG0000696	0.61	n
N0.HOG0000697	0.156	n
N0.HOG0000698	0.065	n
N0.HOG0000699	0.479	n
N0.HOG0000700	0.434	n
N0.HOG0000701	0.003	y
N0.HOG0000702	0.284	n
N0.HOG0000704	0.855	n
N0.HOG0000705	0.761	n
N0.HOG0000706	0.915	n
N0.HOG0000707	0.006	y
N0.HOG0000708	0	y
N0.HOG0000710	0	y
N0.HOG0000717	0.005	y
N0.HOG0000719	0.017	y
N0.HOG0000722	0	y
N0.HOG0000724	0.001	y
N0.HOG0000725	0	y
N0.HOG0000732	0	y
N0.HOG0000734	0.463	n
N0.HOG0000736	0.001	y
N0.HOG0000737	0.574	n
N0.HOG0000738	0.07	n
N0.HOG0000743	0.082	n
N0.HOG0000744	0	y
N0.HOG0000746	0.884	n
N0.HOG0000747	0.364	n
N0.HOG0000748	0.664	n
N0.HOG0000753	0.001	y
N0.HOG0000754	0	y
N0.HOG0000755	0	y
N0.HOG0000756	0.654	n
N0.HOG0000758	0.416	n
N0.HOG0000759	0.913	n
N0.HOG0000760	0.488	n
N0.HOG0000761	0.373	n
N0.HOG0000762	0.154	n
N0.HOG0000763	0.016	y
N0.HOG0000764	0	y
N0.HOG0000765	0.884	n
N0.HOG0000766	0.708	n
N0.HOG0000767	0	y
N0.HOG0000769	0.985	n
N0.HOG0000770	0.03	y
N0.HOG0000771	0.033	y
N0.HOG0000772	0.001	y
N0.HOG0000777	0.07	n
N0.HOG0000779	0.205	n
N0.HOG0000781	0.004	y
N0.HOG0000782	0.012	y
N0.HOG0000783	0	y
N0.HOG0000794	0.324	n
N0.HOG0000795	0.872	n
N0.HOG0000796	0	y
N0.HOG0000797	0.796	n
N0.HOG0000798	0	y
N0.HOG0000800	0.001	y
N0.HOG0000804	0	y
N0.HOG0000805	0.001	y
N0.HOG0000807	0	y
N0.HOG0000808	0.64	n
N0.HOG0000810	0.011	y
N0.HOG0000811	0.001	y
N0.HOG0000812	0.022	y
N0.HOG0000813	0.038	y
N0.HOG0000815	0.001	y
N0.HOG0000818	0.177	n
N0.HOG0000819	0.061	n
N0.HOG0000823	0.451	n
N0.HOG0000825	0.511	n
N0.HOG0000826	0.085	n
N0.HOG0000827	0.763	n
N0.HOG0000831	0.592	n
N0.HOG0000832	0.531	n
N0.HOG0000833	0.592	n
N0.HOG0000834	0.842	n
N0.HOG0000835	0.104	n
N0.HOG0000837	0.303	n
N0.HOG0000838	0.78	n
N0.HOG0000839	0.016	y
N0.HOG0000840	0.935	n
N0.HOG0000843	0.058	n
N0.HOG0000847	0.005	y
N0.HOG0000848	0.204	n
N0.HOG0000853	0	y
N0.HOG0000855	0.449	n
N0.HOG0000856	0	y
N0.HOG0000857	0.753	n
N0.HOG0000858	0.09	n
N0.HOG0000859	0.995	n
N0.HOG0000861	0.608	n
N0.HOG0000864	0.092	n
N0.HOG0000865	0.213	n
N0.HOG0000866	0.405	n
N0.HOG0000868	0.22	n
N0.HOG0000869	0.175	n
N0.HOG0000872	0.019	y
N0.HOG0000873	0.084	n
N0.HOG0000874	0	y
N0.HOG0000877	0.375	n
N0.HOG0000879	0	y
N0.HOG0000880	0	y
N0.HOG0000882	0.184	n
N0.HOG0000883	0.391	n
N0.HOG0000884	0.578	n
N0.HOG0000885	0	y
N0.HOG0000889	0.955	n
N0.HOG0000890	0.051	n
N0.HOG0000891	0.965	n
N0.HOG0000892	0.913	n
N0.HOG0000893	0.005	y
N0.HOG0000895	0.937	n
N0.HOG0000896	0.135	n
N0.HOG0000897	0.999	n
N0.HOG0000898	0.041	y
N0.HOG0000899	0.002	y
N0.HOG0000900	0.626	n
N0.HOG0000901	0.924	n
N0.HOG0000903	0.001	y
